uid,Map_changes,Reverted_changes,restored_map_edits,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Deleted,Median_length,Registered_timeStamp,average_year,efficient_year,acc,class,weekday,weekend
7124762,1312,0,0,909,132,38,140,81,8,0,16,1512086400,2,1,0.856431011,1,23,7
7485723,34,1,0,29,3,0,0,2,0,0,18,1516147200,3.333333333,0.833333333,0.946239747,1,25,5
7508847,1556,0,0,1105,82,58,203,97,8,0,7.5,1516492800,1.666666667,0.666666667,0.891119272,1,21,9
3308004,629,0,0,494,57,31,20,21,6,0,23,1444780800,0.75,0.25,0.94496777,1,27,3
5160273,1210,0,0,945,18,7,217,20,3,0,4,1484870400,2.142857143,0.571428571,0.917209543,1,11,19
5527492,25,1,0,10,5,2,0,8,0,0,17.5,1490054400,1.285714286,0.428571429,0.926194155,1,29,1
7691353,53,0,0,36,8,1,3,5,0,0,26,1519948800,2,0.666666667,0.872493662,1,26,3
520060,51,0,0,0,20,0,0,31,0,0,21,1315612800,0.583333333,0.083333333,0.955271334,2,17,12
2004309,115,0,0,57,14,12,12,17,3,0,12,1395878400,1.1,0.6,0.962180165,2,28,1
2187511,157,0,0,82,16,21,12,20,1,0,6,1405382400,0.6,0.4,0.921208652,1,27,2
16774948,44,0,0,0,21,0,0,23,0,0,32.5,1659916800,4,1,0.972706294,2,28,0
17114087,5420,5,1,4090,630,154,407,125,13,0,31,1663027200,14,1,0.932927685,1,10,18
6332164,5235,1,0,3773,535,86,576,251,10,0,13,1500249600,1.142857143,0.285714286,0.922136209,1,24,4
8068758,1499,1,1,402,453,50,90,456,15,0,30.5,1522886400,0.833333333,0.333333333,0.915422626,1,25,3
8674383,1100,0,0,941,57,17,34,48,3,0,6,1533945600,1.2,0.8,0.959886233,2,13,15
12903914,6220,0,0,5024,3,0,1190,3,0,0,34,1616457600,0.666666667,0.333333333,0.726206974,0,28,0
131048,577,0,0,425,13,17,48,66,8,0,3,1243900800,0.533333333,0.133333333,0.937999877,1,21,7
511967,1286,0,0,998,36,16,171,64,1,0,0,1314230400,0.916666667,0.333333333,0.872994934,1,25,3
614770,136,1,0,91,11,1,12,21,0,0,16,1330646400,0.916666667,0.416666667,0.876478671,1,24,4
2019511,518,0,0,317,62,39,63,33,4,0,0,1396742400,0.3,0.1,0.845749222,1,3,25
2913572,2062,0,0,1278,450,57,249,22,6,0,0,1431561600,0.333333333,0.111111111,0.922714237,1,28,0
5722270,57,0,0,28,5,1,10,9,1,0,6,1492992000,0.571428571,0.285714286,0.921638743,1,28,0
6767125,29,0,0,27,1,0,0,1,0,0,20,1507334400,3.5,0.833333333,0.940439431,1,19,8
10488832,216,1,3,107,29,37,15,24,4,0,6,1574380800,2.5,0.25,0.935164258,1,27,0
20578073,3218,0,0,2179,245,421,311,1,61,0,107,1699574400,2,1,0.924249527,1,27,0
2759372,863,0,0,657,58,15,95,34,4,0,9,1426377600,1.555555556,0.333333333,0.923633879,1,15,12
3037368,356,0,0,223,18,6,49,47,4,0,39,1436054400,1.111111111,0.111111111,0.868336149,1,13,14
4320454,262,0,0,150,29,5,35,42,0,0,1,1469491200,1,0.5,0.950081054,2,27,0
6365525,2175,0,4,1086,603,246,27,204,8,0,16,1500854400,1.714285714,0.285714286,0.783770042,1,14,12
6582336,142,0,0,63,11,17,17,30,4,0,19.5,1504224000,2.666666667,0.5,0.855525788,1,24,2
8480659,11393,0,0,9667,110,22,1518,70,6,0,13,1530230400,1.333333333,0.166666667,0.797926802,0,14,12
9649018,681,1,0,340,39,108,70,107,16,0,7,1555804800,1.2,0.8,0.863110043,1,10,16
10716908,1284,31,0,360,356,313,65,163,22,0,9,1580256000,2.25,1,0.858531265,1,22,4
