uid,mapping_days,Map_changes,Reverted_changes,restored_changesets,restored_map_edits,revert_contributors,Discussed_changesets,dis_responses,com_changesets,num_comments,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Created,Relations_Modified,Relations_Deleted,Overall,comments,Unique_comments,Median_length,Registered_timeStamp,Sun,Mon,Tue,Wed,Thu,Fri,Sat,years_passed,average_year,efficient_year,iD,JOSM,JOSM (Reverter),Potlatch,Merkaartor,Vespucci,Go Map!!,StreetComplete,OsmAnd,Maps.Me,Level0,Every Door,RapiD,Pic4Review,Rosemary,Mapzen,unKnowEditors,acc
2171698,1150,3254570,101,26,31,23,10,0,0,0,2573608,167646,14460,435840,60554,2255,9,193,5,39524,39524,70,18.0,1404777600,2634,7550,6600,6578,6738,6886,2538,10,115.0,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9658335528034564
2176227,668,766362,111,52,111,45,9,1,1,1,523155,103727,32043,70046,34078,2668,292,349,2,2749,1551,433,12.0,1404864000,535,392,356,287,362,426,391,10,66.8,1.0,99.96362313568572,0.0,0.0,0.0363768643142961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8317282287907135
169252,1027,372016,264,26,251,20,5,1,2,3,257937,64346,18095,13698,14071,885,1126,4134,29,5268,2948,1556,6.0,1252454400,611,1044,864,641,696,690,722,14,73.35714285714286,1.0,24.35459377372817,12.281700835231588,0.0,63.36370539104025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628313234622324
179941,35,59516,3,1,4,1,0,0,0,0,44352,6253,1187,5391,2206,108,5,14,1,607,586,371,26.0,1254268800,89,106,19,86,42,173,92,14,2.5,0.3571428571428571,85.83196046128501,0.0,0.0,10.049423393739705,4.118616144975288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7586652848773106
189496,470,113488,8,2,2,2,0,0,0,0,83569,6389,2145,17446,3435,445,38,11,0,2131,2105,205,19.0,1256256000,424,332,261,280,268,236,330,14,33.57142857142857,1.0,0.5161895823557016,53.68371656499296,0.0,1.4547160957297045,0.0,0.9854528390427028,0.0,43.17221961520413,0.1877053026748005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9784480899861226
207745,1222,7448381,13550,2690,44526,617,12,0,0,0,2908138,729067,1088615,367099,2044694,156169,27336,73754,1883,13723,13716,6046,17.0,1260576000,2043,1802,1961,1885,1970,2006,2056,14,87.28571428571429,0.3571428571428571,0.0,62.617503461342274,1.3262406179406836,36.04896888435473,0.0072870363623114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9589199498300958
221923,1756,264434,261,130,171,97,35,0,0,0,146649,44604,13102,19491,37843,1895,55,372,52,3348,3340,2254,38.0,1263945600,609,520,438,482,443,448,408,14,125.42857142857144,1.0,0.1494321578003586,95.2480573819486,0.0,4.602510460251046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9199184476119712
223681,1682,1023111,44,140,362,123,11,3,4,4,749151,103538,16472,103434,39161,1195,227,398,10,7462,7451,2951,31.0,1264291200,1404,925,797,707,948,1284,1397,14,120.14285714285714,1.0,0.2680246582685607,56.21817207183061,0.0938086303939962,0.0536049316537121,0.0,5.802733851514339,0.0,33.3154650227821,0.2144197266148485,0.0,0.013401232913428,2.4256231573304743,0.0,0.0,0.0,0.0,1.594746716697936,0.9585865401550028
224106,164,106458,4,1,9,1,0,0,0,0,75840,6670,14343,4279,4652,592,28,51,0,429,428,392,26.0,1264377600,40,83,67,87,50,39,63,14,11.714285714285714,0.8571428571428571,25.64102564102564,2.564102564102564,0.0,71.7948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9635893190520372
227972,3602,6786261,3318,339,1165,196,57,43,89,139,4409255,971935,364377,480425,494403,40796,1777,15896,273,15321,15312,7326,44.0,1265068800,2802,2109,1941,2360,1905,1966,2238,14,257.2857142857143,1.0,39.89295737876118,0.4960511715945435,0.0,48.66523072906468,0.0,0.0,10.945760720579596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9394296683420308
